year,team,head_coach,offensive_coordinator,offensive_playcaller,prev_hc_team,prev_oc_team,hc_playcaller,oc_playcaller,hired,oc_hired
2019,MIA,Brian Flores,Chad O'Shea,Chad O'Shea,NE,NE,false,true,2019,2019
2019,MIN,Mike Zimmer,Kevin Stefanski,Kevin Stefanski,CIN,MIN,false,true,2014,2018
2019,NE,Bill Belichick,Josh McDaniels,Josh McDaniels,NYJ,LAR,false,true,2000,2012
2019,NO,Sean Payton,Pete Carmichael Jr.,Sean Payton,DAL,NO,true,false,2006,2009
2019,NYG,Pat Shurmur,Mike Shula,Pat Shurmur,MIN,CAR,true,false,2018,2018
2019,NYJ,Adam Gase,Dowell Loggains,Adam Gase,MIA,MIA,true,false,2019,2019
2019,PHI,Doug Pederson,Mike Groh,Doug Pederson,KC,PHI,true,false,2016,2018
2019,PIT,Mike Tomlin,Randy Fichtner,Randy Fichtner,MIN,PIT,false,true,2007,2018
2019,SEA,Pete Carroll,Brian Schottenheimer,Brian Schottenheimer,USC,IND,false,true,2010,2018
2019,SF,Kyle Shanahan,NONE,Kyle Shanahan,ATL,,true,false,2017,
2019,TB,Bruce Arians,Byron Leftwich,Byron Leftwich,ARI,ARI,false,true,2019,2019
2019,TEN,Mike Vrabel,Arthur Smith,Arthur Smith,HOU,TEN,false,true,2018,2019
2019,WAS,Jay Gruden,Kevin O'Connell,Jay Gruden,CIN,WAS,true,false,2014,2019
2020,ARI,Kliff Kingsbury,NONE,Kliff Kingsbury,USC,,true,false,2019,
2020,ATL,Dan Quinn,Dirk Koetter,Dirk Koetter,SEA,TB,false,true,2015,2019
2020,BAL,John Harbaugh,Greg Roman,Greg Roman,PHI,BAL,false,true,2008,2019
2020,BUF,Sean McDermott,Brian Daboll,Brian Daboll,CAR,Alabama,false,true,2017,2018
2020,CAR,Matt Rhule,Joe Brady,Joe Brady,Baylor,LSU,false,true,2020,2020
2020,CHI,Matt Nagy,Bill Lazor,Matt Nagy,KC,Penn State,true,false,2018,2020
2020,CIN,Zac Taylor,Brian Callahan,Zac Taylor,LAR,LV,true,false,2019,2019
2020,CLE,Kevin Stefanski,Alex Van Pelt,Kevin Stefanski,MIN,CIN,true,false,2020,2020
